Count,Date,Close,CUP,DecisionTree,DUP,LinearSVR,LUP,RandomForest,RUP,Lasso,laUP,Ridge,riUP,Bay,BUP,GradientBoost,GUP,SGD,SUP,ES,EUP,ES_V,EvUP,LSTM,LUP,GRU,GrUP
71,08-Nov-19,11908.15,0,11908.15,0,11972.206,1,11934.8951,1,12004.4491,1,12007.4055,1,12009.1144,1,11903.9767,0,12004.4491,1,11915.6739,0,11995.123,1,11251.81325,0,11742.90505,1
72,11-Nov-19,11913.45,1,11913.45,1,11868.441,0,11925.8932,0,11901.0472,0,11903.4283,0,11905.1523,0,11903.3525,0,11901.0472,0,11914.2319,0,11891.4173,0,11291.97754,1,11701.69584,0
73,13-Nov-19,11840.45,0,11840.45,0,11874.3118,1,11925.8932,0,11906.3607,1,11908.7141,1,11910.3999,1,11893.0368,0,11906.3607,1,11886.46,0,11896.8886,1,11272.95233,0,11580.4373,0
74,14-Nov-19,11872.1,1,11872.1,1,11812.4504,0,11910.5323,0,11833.784,0,11836.8397,0,11837.9458,0,11865.0844,0,11833.784,0,11882.5722,0,11827.9126,0,11320.33193,1,11553.51051,0
75,15-Nov-19,11895.45,1,11895.45,1,11851.0828,1,11925.8932,1,11865.3299,1,11869.397,1,11870.1289,1,11896.2897,1,11865.3299,1,11905.8776,1,11862.0263,1,11295.48498,0,11520.90035,0
76,18-Nov-19,11884.5,0,11884.5,0,11867.2231,1,11925.8932,0,11888.5045,1,11891.999,1,11893.1127,1,11886.7265,0,11888.5045,1,11899.0399,0,11882.8025,1,11358.67531,1,11521.09306,1
77,19-Nov-19,11940.1,1,11940.1,1,11857.4744,0,11925.8932,0,11877.6486,0,11881.0808,0,11882.1259,0,11896.2897,1,11877.6486,0,11920.761,1,11872.2657,0,11403.42749,1,11499.77272,0
78,20-Nov-19,11999.1,1,11999.1,1,11902.748,1,11928.483,1,11932.8555,1,11935.4527,1,11937.035,1,11958.2586,1,11932.8555,1,11961.9472,1,11924.0731,1,11337.86354,0,11519.30215,1
79,21-Nov-19,11968.4,0,11968.4,0,11956.608,1,11934.8951,1,11991.5303,1,11993.8452,1,11995.6856,1,11958.2586,0,11991.5303,1,11953.8512,0,11981.1367,1,11377.31234,1,11502.32201,0
80,22-Nov-19,11914.4,0,11914.4,0,11937.7163,0,11931.576,0,11961.1308,0,11964.5928,0,11965.8115,0,11926.8248,0,11961.1308,0,11924.2669,0,11954.7345,0,11380.99908,1,11500.29937,0
81,25-Nov-19,12073.75,1,12073.75,1,11893.4057,0,11949.2355,1,11907.4848,0,11911.7688,0,11912.4869,0,11973.9173,1,11907.4848,0,11998.9676,1,11904.2998,0,11384.94795,1,11528.87943,1
82,26-Nov-19,12037.7,0,12037.7,0,12028.857,1,11964.5772,1,12065.9576,1,12068.2328,1,12070.1693,1,12032.0894,1,12065.9576,1,12011.4555,1,12054.8435,1,11373.57017,0,11532.30429,1
83,27-Nov-19,12100.7,1,12100.7,1,11998.3212,0,11964.5772,0,12030.1214,0,12032.9491,0,12034.6074,0,11984.0454,0,12030.1214,0,12016.4409,1,12020.8656,0,11328.96304,0,11535.45355,1
84,28-Nov-19,12151.15,1,12151.15,1,12054.8522,1,11964.5772,0,12092.781,1,12095.2396,1,12097.2267,1,12075.6483,1,12092.781,1,12063.7918,1,12081.4724,1,11261.55424,0,11579.56453,1
85,29-Nov-19,12056.05,0,12056.05,0,12098.9327,1,11964.5772,0,12142.9631,1,12144.8041,1,12147.1083,1,12032.0894,0,12142.9631,1,12017.5722,0,12129.5184,1,11298.35666,1,11519.05322,0
86,02-Dec-19,12048.2,0,12048.2,0,12006.9041,0,11943.8247,0,12048.2555,0,12049.9898,0,12052.1593,0,12042.6313,1,12048.2555,0,12011.552,0,12035.6305,0,11420.31033,1,11525.79648,1
87,12-Dec-19,11971.8,0,11971.8,0,11995.4155,0,11943.8247,0,12040.3741,0,12041.7435,0,12044.1129,0,11939.1468,0,12040.3741,0,11951.5905,0,12026.5002,0,11429.05111,1,11484.05182,0
88,13-Dec-19,12086.7,1,12086.7,1,11951.6346,0,11950.4175,1,11964.5939,0,11969.756,0,11970.4392,0,11990.3342,1,11964.5939,0,12009.1506,1,11962.0749,0,,0,,0
89,16-Dec-19,12053.95,0,12053.95,0,12055.3743,1,11750.4139,0,12078.9566,1,12083.191,1,12084.422,1,12069.5879,1,12078.9566,1,11957.9839,0,12072.7626,1,,1,,0
