Date,Close,DT,RF,SVR,LASSO,RIDGE,BayR,GB,SGD,LSTM,GRU
14-Jan-21,14595.6,14850.2,14720.66375,14774.14604,14474.38421,14630.06962,14441.76738,14586.39811,14715.64624,14908.59234,14625.6
15-Jan-21,14433.7,13156.45,15179.39458,14211.63415,13935.58697,14006.58033,13928.23638,14639.26624,14110.70766,14778.9454,14403.7
19-Jan-21,14521.15,13567.5,15093.9225,14332.44579,14176.38495,14186.17526,14178.87824,14647.39865,14225.9046,14412.07307,14491.15
20-Jan-21,14644.7,13709.85,15299.30706,14848.00588,14625.30686,14658.46744,14627.78362,15101.06709,14753.77694,14019.80958,14674.7
21-Jan-21,14590.35,13276.35,15660.52179,15278.90623,15012.01768,15120.859,14994.04573,15524.04948,15215.24042,14615.0426,14620.35
22-Jan-21,14371.9,13374.55,14983.22429,14433.07853,14094.84737,14191.2959,14086.68358,14787.33902,14347.2074,13910.79043,14401.9
25-Jan-21,14238.9,12897.6,15297.37141,14784.25932,14583.38325,14608.62732,14587.15107,15085.49355,14700.00957,13822.53041,14268.9
27-Jan-21,13967.5,12456.2,15053.53313,14451.06433,14179.21072,14278.11426,14164.53731,14823.85043,14383.86959,13755.78928,13997.5
28-Jan-21,13817.55,13014.65,14158.60564,13430.62153,13145.37667,13230.43666,13136.22495,13727.51933,13354.47664,14489.72333,13827.55
29-Jan-21,13634.6,12788.25,14232.07781,13851.97723,13662.31004,13670.54626,13670.16781,14091.13177,13752.60868,13606.88996,13643.6
01-Feb-21,14281.2,13798,14555.8725,14332.87713,13965.63985,14087.0865,13952.24224,14468.63619,14248.74317,14596.76015,14296.8
02-Feb-21,14647.85,14045.55,15148.78,14985.84996,14761.81912,14774.39578,14773.08623,15073.81316,14897.83816,14533.88088,14665.13
03-Feb-21,14789.95,14461.6,15008.02,14778.47275,14518.90046,14546.89061,14527.91224,14886.88715,14687.33825,15060.99954,14828.45
04-Feb-21,14895.65,14562.4,15192.9775,15165.11647,14902.71054,14930.29416,14912.6809,15157.95843,15075.56693,14888.58947,14924.95
05-Feb-21,14924.25,14310.6,15493.96875,15487.74262,15222.58981,15270.45589,15226.82396,15496.06836,15415.58142,14625.91019,14949.85
08-Feb-21,15115.8,14708,15367.455,15150.96208,14917.3946,14944.38606,14925.11997,15263.96533,15074.14302,15314.2054,15129.9
09-Feb-21,15109.3,14828.1,15295.95583,15196.09142,14976.44375,14989.68062,14987.10031,15250.32723,15107.94353,15242.15625,15125.42
10-Feb-21,15106.5,14665.8,15531.55875,15474.74906,15265.15222,15280.55797,15275.08981,15529.40263,15398.8059,14947.84778,15130.15
18-Feb-21,15118.95,14806.15,15347.2775,15303.00623,15012.17823,15066.35261,15016.30129,15353.04687,15225.91975,15225.72177,15139.75
22-Feb-21,14675.7,14461.5,14857.67125,14872.06314,14591.32443,14632.28035,14599.2069,14858.63296,14792.88196,14760.07557,14697.2
24-Feb-21,14982,14940.25,15034.8975,15044.00842,14809.68822,14826.58462,14821.46522,15005.95263,14963.79213,15154.31178,14993.5
